taxonomy_id	name	rank	BGG_KOSDC	BGG_MOSDA	BGG_QOSDA	BGG_POSDC	BGG_BOSW	BGG_NOSDA	BGG_LOSDA	BGG_ROSDA	BGG_OOSDC
1129742	belli group	species group	0	0	1	0	0	0	0	0	0
33990	Rickettsia bellii	species	1	2	11	0	0	10	10	8	0
69474	Orientia	genus	0	0	0	0	0	0	0	0	0
784	Orientia tsutsugamushi	species	2	12	6	4	3	9	0	9	2
2115980	Candidatus Phycorickettsia	genus	0	0	0	0	0	0	0	0	0
2115978	Candidatus Phycorickettsia trachydisci	species	3	4	1	10	2	20	2	0	19
942	Anaplasmataceae	family	1	8	10	9	15	4	6	5	12
952	Wolbachieae	tribe	0	0	0	0	0	0	0	0	0
953	Wolbachia	genus	4	11	12	6	6	52145	13	42	23
2640676	unclassified Wolbachia	no rank	2	4	4	1	1	13518	2	10	16
1812115	Wolbachia endosymbiont of Dirofilaria (Dirofilaria) immitis	species	2	0	0	0	1	2	0	0	0
943	Ehrlichia	genus	0	1	0	0	0	0	0	0	0
106178	canis group	species group	0	0	0	0	0	1	3	2	0
779	Ehrlichia ruminantium	species	0	1	0	0	0	2	0	0	3
302409	Ehrlichia ruminantium str. Gardel	strain	3	0	0	0	0	1	0	0	0
768	Anaplasma	genus	0	0	2	0	1	0	2	0	0
770	Anaplasma marginale	species	1	0	0	0	0	0	0	0	1
1328881	Candidatus Midichloriaceae	family	1	0	0	0	0	0	0	0	1
411566	Candidatus Midichloria	genus	0	0	0	0	0	0	0	0	0
234827	Candidatus Midichloria mitochondrii	species	0	0	0	0	0	0	0	0	0
696127	Candidatus Midichloria mitochondrii IricVA	strain	1	14	10	25	5	25	1	2	5
1802983	Candidatus Fokinia	genus	0	0	0	0	0	0	0	0	0
1802984	Candidatus Fokinia solitaria	species	1	0	0	0	1	0	0	2	0
1921002	Holosporales	order	0	2	2	2	0	0	0	0	4
1777752	Candidatus Paracaedibacteraceae	family	0	0	0	0	0	0	0	0	0
1521255	Candidatus Paracaedibacter	genus	0	0	0	0	0	0	0	0	0
91604	Candidatus Paracaedibacter acanthamoebae	species	34	46	4	12	9	13	26	16	23
2100208	Caedimonadaceae	family	0	0	0	0	0	0	0	0	0
1509243	Candidatus Nucleicultrix	genus	0	0	0	0	0	0	0	0	0
1509244	Candidatus Nucleicultrix amoebiphila	species	0	0	0	0	0	0	0	0	0
1414854	Candidatus Nucleicultrix amoebiphila FS5	strain	16	22	2	6	21	3	4	74	22
54526	Candidatus Pelagibacterales	order	0	0	2	2	18	0	0	0	0
1655514	Pelagibacteraceae	family	0	0	0	0	0	0	0	0	0
198251	Candidatus Pelagibacter	genus	12	22	2	17	0	7	0	12	3
2647897	unclassified Candidatus Pelagibacter	no rank	0	0	3	0	0	0	0	0	2
1002672	Candidatus Pelagibacter sp. IMCC9063	species	13	30	31	14	5	7	8	7	11
2066490	Emcibacterales	order	0	0	0	0	0	0	0	0	0
2066491	Emcibacteraceae	family	6	4	0	6	3	0	0	0	0
2813803	Luteithermobacter	genus	0	0	0	0	0	0	0	0	0
2582913	Luteithermobacter gelatinilyticus	species	8	18	3	8	85	0	6	9	9
2813804	Paremcibacter	genus	0	0	0	0	0	0	0	0	0
2043170	Paremcibacter congregatus	species	6	3	2	1	29	3	1	5	12
82117	Alphaproteobacteria incertae sedis	no rank	0	0	0	0	3	0	0	0	0
